Index,Date,Airport,User Class,Aircraft Type,Departures,Nautical MPG,Fuel Cost(Avg),Passenger Capacity,NM Distance to MCO (Orlando),NM Distance to DAB (Daytona Beach),Estimated Fuel Cost to MCO,Estimated Fuel Cost to DAB
1,9/21/2022,ATL,Air Carrier,A333 - Airbus A330-300,1,0.13,3.49,335,351.4968047,318.6082765,9436.34,8553.41
2,9/22/2022,ATL,Air Carrier,A333 - Airbus A330-300,1,0.13,3.49,335,351.4968047,318.6082765,9436.34,8553.41
3,9/28/2022,ATL,Air Carrier,A333 - Airbus A330-300,1,0.13,3.49,335,351.4968047,318.6082765,9436.34,8553.41
4,10/1/2022,ATL,Air Carrier,A333 - Airbus A330-300,1,0.13,3.49,335,351.4968047,318.6082765,9436.34,8553.41
5,9/21/2022,ATL,Air Carrier,A359 - Airbus 350-900,1,0.14,3.49,314,351.4968047,318.6082765,8762.31,7942.45
6,9/22/2022,ATL,Air Carrier,A359 - Airbus 350-900,2,0.14,3.49,314,351.4968047,318.6082765,8762.31,7942.45
7,9/23/2022,ATL,Air Carrier,A359 - Airbus 350-900,1,0.14,3.49,314,351.4968047,318.6082765,8762.31,7942.45
8,9/24/2022,ATL,Air Carrier,A359 - Airbus 350-900,2,0.14,3.49,314,351.4968047,318.6082765,8762.31,7942.45
9,9/25/2022,ATL,Air Carrier,A359 - Airbus 350-900,2,0.14,3.49,314,351.4968047,318.6082765,8762.31,7942.45
10,9/26/2022,ATL,Air Carrier,A359 - Airbus 350-900,3,0.14,3.49,314,351.4968047,318.6082765,8762.31,7942.45
11,9/27/2022,ATL,Air Carrier,A359 - Airbus 350-900,2,0.14,3.49,314,351.4968047,318.6082765,8762.31,7942.45
12,9/28/2022,ATL,Air Carrier,A359 - Airbus 350-900,1,0.14,3.49,314,351.4968047,318.6082765,8762.31,7942.45
13,9/29/2022,ATL,Air Carrier,A359 - Airbus 350-900,2,0.14,3.49,314,351.4968047,318.6082765,8762.31,7942.45
14,9/30/2022,ATL,Air Carrier,A359 - Airbus 350-900,1,0.14,3.49,314,351.4968047,318.6082765,8762.31,7942.45
15,10/1/2022,ATL,Air Carrier,A359 - Airbus 350-900,2,0.14,3.49,314,351.4968047,318.6082765,8762.31,7942.45
16,9/21/2022,ATL,Air Carrier,B748 - Boeing 747-8,2,0.12,3.49,364,351.4968047,318.6082765,10222.7,9266.19
17,9/21/2022,DFW,Air Carrier,B748 - Boeing 747-8,3,0.12,3.49,364,854.5964742,850.9932531,24854.51,24749.72
18,9/21/2022,MIA,Air Carrier,B748 - Boeing 747-8,2,0.12,3.49,364,167.367911,207.2844794,4867.62,6028.52
19,9/22/2022,ATL,Air Carrier,B748 - Boeing 747-8,1,0.12,3.49,364,351.4968047,318.6082765,10222.7,9266.19
20,9/22/2022,IAH,Air Carrier,B748 - Boeing 747-8,1,0.12,3.49,364,740.6326352,746.6311445,21540.07,21714.52
21,9/22/2022,MIA,Air Carrier,B748 - Boeing 747-8,1,0.12,3.49,364,167.367911,207.2844794,4867.62,6028.52
22,9/23/2022,ATL,Air Carrier,B748 - Boeing 747-8,1,0.12,3.49,364,351.4968047,318.6082765,10222.7,9266.19
23,9/23/2022,DFW,Air Carrier,B748 - Boeing 747-8,2,0.12,3.49,364,854.5964742,850.9932531,24854.51,24749.72
24,9/23/2022,MIA,Air Carrier,B748 - Boeing 747-8,1,0.12,3.49,364,167.367911,207.2844794,4867.62,6028.52
25,9/24/2022,ATL,Air Carrier,B748 - Boeing 747-8,1,0.12,3.49,364,351.4968047,318.6082765,10222.7,9266.19
26,9/24/2022,DFW,Air Carrier,B748 - Boeing 747-8,2,0.12,3.49,364,854.5964742,850.9932531,24854.51,24749.72
27,9/24/2022,MIA,Air Carrier,B748 - Boeing 747-8,1,0.12,3.49,364,167.367911,207.2844794,4867.62,6028.52
28,9/25/2022,ATL,Air Carrier,B748 - Boeing 747-8,1,0.12,3.49,364,351.4968047,318.6082765,10222.7,9266.19
29,9/25/2022,DFW,Air Carrier,B748 - Boeing 747-8,2,0.12,3.49,364,854.5964742,850.9932531,24854.51,24749.72
30,9/25/2022,IAH,Air Carrier,B748 - Boeing 747-8,1,0.12,3.49,364,740.6326352,746.6311445,21540.07,21714.52
31,9/25/2022,MIA,Air Carrier,B748 - Boeing 747-8,2,0.12,3.49,364,167.367911,207.2844794,4867.62,6028.52
32,9/26/2022,ATL,Air Carrier,B748 - Boeing 747-8,1,0.12,3.49,364,351.4968047,318.6082765,10222.7,9266.19
33,9/26/2022,DFW,Air Carrier,B748 - Boeing 747-8,2,0.12,3.49,364,854.5964742,850.9932531,24854.51,24749.72
34,9/26/2022,MIA,Air Carrier,B748 - Boeing 747-8,1,0.12,3.49,364,167.367911,207.2844794,4867.62,6028.52
35,9/27/2022,MIA,Air Carrier,B748 - Boeing 747-8,1,0.12,3.49,364,167.367911,207.2844794,4867.62,6028.52
36,9/28/2022,ATL,Air Carrier,B748 - Boeing 747-8,2,0.12,3.49,364,351.4968047,318.6082765,10222.7,9266.19
37,9/28/2022,DFW,Air Carrier,B748 - Boeing 747-8,2,0.12,3.49,364,854.5964742,850.9932531,24854.51,24749.72
38,9/28/2022,MIA,Air Carrier,B748 - Boeing 747-8,1,0.12,3.49,364,167.367911,207.2844794,4867.62,6028.52
39,9/29/2022,DFW,Air Carrier,B748 - Boeing 747-8,1,0.12,3.49,364,854.5964742,850.9932531,24854.51,24749.72
40,9/29/2022,MIA,Air Carrier,B748 - Boeing 747-8,1,0.12,3.49,364,167.367911,207.2844794,4867.62,6028.52
41,9/30/2022,ATL,Air Carrier,B748 - Boeing 747-8,1,0.12,3.49,364,351.4968047,318.6082765,10222.7,9266.19
42,9/30/2022,DFW,Air Carrier,B748 - Boeing 747-8,2,0.12,3.49,364,854.5964742,850.9932531,24854.51,24749.72
43,9/30/2022,MIA,Air Carrier,B748 - Boeing 747-8,1,0.12,3.49,364,167.367911,207.2844794,4867.62,6028.52
44,10/1/2022,ATL,Air Carrier,B748 - Boeing 747-8,1,0.12,3.49,364,351.4968047,318.6082765,10222.7,9266.19
45,10/1/2022,DFW,Air Carrier,B748 - Boeing 747-8,2,0.12,3.49,364,854.5964742,850.9932531,24854.51,24749.72
46,10/1/2022,MIA,Air Carrier,B748 - Boeing 747-8,1,0.12,3.49,364,167.367911,207.2844794,4867.62,6028.52
47,9/21/2022,ATL,Air Carrier,B763 - Boeing 767-300,10,0.13,3.49,230,351.4968047,318.6082765,9436.34,8553.41
48,9/21/2022,AUS,Air Carrier,B763 - Boeing 767-300,2,0.13,3.49,230,862.3434944,867.8364095,23150.61,23298.07
49,9/21/2022,CLT,Air Carrier,B763 - Boeing 767-300,1,0.13,3.49,230,407.667284,362.3375507,10944.3,9727.37
50,9/21/2022,IAH,Air Carrier,B763 - Boeing 767-300,3,0.13,3.49,230,740.6326352,746.6311445,19883.14,20044.17
51,9/21/2022,MCO,Air Carrier,B763 - Boeing 767-300,1,0.13,3.49,230,0,46.83699169,0,1257.39
52,9/21/2022,MIA,Air Carrier,B763 - Boeing 767-300,7,0.13,3.49,230,167.367911,207.2844794,4493.18,5564.79
53,9/21/2022,TPA,Air Carrier,B763 - Boeing 767-300,4,0.13,3.49,230,70.35989854,106.1965662,1888.89,2850.97
54,9/22/2022,ATL,Air Carrier,B763 - Boeing 767-300,7,0.13,3.49,230,351.4968047,318.6082765,9436.34,8553.41
55,9/22/2022,AUS,Air Carrier,B763 - Boeing 767-300,2,0.13,3.49,230,862.3434944,867.8364095,23150.61,23298.07
56,9/22/2022,CLT,Air Carrier,B763 - Boeing 767-300,2,0.13,3.49,230,407.667284,362.3375507,10944.3,9727.37
57,9/22/2022,DFW,Air Carrier,B763 - Boeing 767-300,1,0.13,3.49,230,854.5964742,850.9932531,22942.63,22845.9
58,9/22/2022,IAH,Air Carrier,B763 - Boeing 767-300,1,0.13,3.49,230,740.6326352,746.6311445,19883.14,20044.17
59,9/22/2022,MCO,Air Carrier,B763 - Boeing 767-300,3,0.13,3.49,230,0,46.83699169,0,1257.39
60,9/22/2022,MIA,Air Carrier,B763 - Boeing 767-300,6,0.13,3.49,230,167.367911,207.2844794,4493.18,5564.79
61,9/22/2022,TPA,Air Carrier,B763 - Boeing 767-300,4,0.13,3.49,230,70.35989854,106.1965662,1888.89,2850.97
62,9/23/2022,ATL,Air Carrier,B763 - Boeing 767-300,9,0.13,3.49,230,351.4968047,318.6082765,9436.34,8553.41
63,9/23/2022,AUS,Air Carrier,B763 - Boeing 767-300,2,0.13,3.49,230,862.3434944,867.8364095,23150.61,23298.07
64,9/23/2022,CLT,Air Carrier,B763 - Boeing 767-300,1,0.13,3.49,230,407.667284,362.3375507,10944.3,9727.37
65,9/23/2022,DFW,Air Carrier,B763 - Boeing 767-300,1,0.13,3.49,230,854.5964742,850.9932531,22942.63,22845.9
66,9/23/2022,IAH,Air Carrier,B763 - Boeing 767-300,2,0.13,3.49,230,740.6326352,746.6311445,19883.14,20044.17
67,9/23/2022,MCO,Air Carrier,B763 - Boeing 767-300,2,0.13,3.49,230,0,46.83699169,0,1257.39
68,9/23/2022,MIA,Air Carrier,B763 - Boeing 767-300,9,0.13,3.49,230,167.367911,207.2844794,4493.18,5564.79
